"","Primary Type","Location Description","Arrest","Domestic","District","Hour","DayofWeek"
"1","Damage","Street","No","No","8","14","Thursday"
"2","Battery","Street","No","No","10","23","Friday"
"3","Damage","Residential","No","No","8","2","Monday"
"4","Theft","Street","No","No","10","5","Thursday"
"5","Auto Theft","Street","No","No","2","7","Friday"
"6","Damage","Residential","No","No","5","17","Monday"
"7","Sexual","School/College","No","No","8","13","Wednesday"
"8","Battery","Residential","No","Yes","6","10","Monday"
"9","Weapons","Street","Yes","No","12","12","Tuesday"
"10","Theft","Residential","No","No","5","8","Sunday"
"11","Theft","Business/Retail/Resturant","Yes","No","5","15","Wednesday"
"12","Battery","Business/Retail/Resturant","No","Yes","2","23","Friday"
"13","Battery","Public Transportation","No","No","16","9","Sunday"
"14","Other","Residential","Yes","No","5","21","Saturday"
"15","Theft","Street","No","No","1","10","Thursday"
"16","Battery","Residential","No","No","7","8","Friday"
"17","Battery","Street","No","Yes","8","19","Sunday"
"18","Weapons","Street","Yes","No","4","21","Wednesday"
"19","Burglary","Residential","No","No","15","16","Friday"
"20","Theft","Street","No","No","17","19","Tuesday"
"21","Drugs/Alcohol","Vehicle/Boat","Yes","No","11","7","Saturday"
"22","Fraud","Residential","No","No","8","21","Tuesday"
"23","Fraud","Residential","No","No","5","19","Thursday"
"24","Other","Business/Retail/Resturant","Yes","No","6","19","Tuesday"
"25","Battery","Other","No","No","25","23","Friday"
"26","Drugs/Alcohol","Street","Yes","No","11","23","Saturday"
"27","Battery","School/College","No","No","22","6","Sunday"
"28","Theft","Business/Retail/Resturant","No","No","18","15","Tuesday"
"29","Auto Theft","Street","No","No","16","16","Monday"
"30","Damage","Street","No","No","6","22","Saturday"
"31","Battery","Residential","No","Yes","4","12","Thursday"
"32","Burglary","Other","No","No","15","12","Tuesday"
"33","Damage","Street","No","No","9","19","Tuesday"
"34","Other","Government Building/Land","No","No","10","12","Saturday"
"35","Theft","Residential","No","No","6","18","Monday"
"36","Other","Residential","No","No","24","11","Sunday"
"37","Theft","Other","No","No","14","18","Friday"
"38","Assault","Street","No","No","18","0","Saturday"
"39","Drugs/Alcohol","Street","Yes","No","20","14","Friday"
"40","Battery","Business/Retail/Resturant","Yes","No","11","22","Tuesday"
